#Rank	Path	LengthInKmers	Flows
2	2	5260	3
2	1000002	3222	2
1	1	7278	3
2	2000002	2949	2
0	0	11714	3
3	3	11641	3
2	3000002	2982	3
2	4000002	2775	3
1	1000001	5924	2
3	1000003	7419	3
2	5000002	3387	3
0	1000000	7264	3
2	6000002	6859	3
2	7000002	2682	2
1	2000001	10323	3
2	8000002	3779	2
0	2000000	10842	3
3	2000003	12466	3
0	3000000	4067	3
2	9000002	6477	3
0	4000000	3975	3
3	3000003	6068	3
2	10000002	2602	3
1	3000001	7672	3
0	5000000	4336	3
2	11000002	2415	2
2	12000002	3364	3
2	13000002	2280	3
3	4000003	8716	3
0	6000000	4285	3
2	14000002	2441	3
1	4000001	5067	3
2	15000002	2196	2
0	7000000	2644	3
1	5000001	3336	3
0	8000000	2447	3
3	5000003	6205	3
1	6000001	2857	2
1	7000001	2790	2
2	16000002	3396	3
0	9000000	2469	3
1	8000001	3317	3
2	17000002	2186	3
0	10000000	2393	3
2	18000002	1940	2
2	19000002	1915	2
2	20000002	1841	2
3	6000003	4519	3
0	11000000	2451	3
2	21000002	2131	2
0	12000000	2110	2
1	9000001	3130	3
2	22000002	1880	3
0	13000000	2084	2
2	23000002	1797	2
3	8000003	3506	3
2	25000002	1730	2
0	14000000	2458	2
1	10000001	2939	3
2	26000002	1725	2
0	15000000	2002	2
3	9000003	3314	2
1	11000001	2818	2
0	16000000	2232	2
1	12000001	2390	2
0	17000000	1888	2
2	27000002	3006	3
1	13000001	2361	2
0	18000000	1893	2
3	10000003	3275	3
2	28000002	1693	2
0	19000000	1896	3
3	13000003	3001	2
0	20000000	1829	2
2	29000002	2333	2
3	14000003	2948	2
0	21000000	1827	3
2	30000002	2089	3
1	14000001	5367	3
0	22000000	1764	2
2	31000002	1631	2
0	23000000	1753	2
2	32000002	2046	2
1	15000001	2212	2
0	24000000	1732	2
2	33000002	1613	2
0	25000000	1682	3
2	34000002	1665	2
3	15000003	3864	3
1	16000001	2798	3
2	35000002	1590	3
3	16000003	2551	2
1	17000001	2147	2
2	36000002	1569	2
2	37000002	1567	3
1	18000001	2469	3
2	38000002	1546	2
0	26000000	3023	3
2	39000002	1541	2
0	27000000	1655	2
1	19000001	2099	3
2	40000002	1541	3
1	20000001	1823	2
3	17000003	2716	3
0	28000000	1907	3
0	29000000	1999	2
1	21000001	1802	2
2	41000002	2264	3
1	22000001	1895	3
2	42000002	1631	2
3	18000003	2939	3
1	23000001	1691	2
2	43000002	1757	2
3	19000003	2308	2
2	44000002	1670	3
1	24000001	2571	3
0	30000000	3682	3
0	31000000	1583	2
3	20000003	2310	3
2	45000002	1434	3
1	25000001	1897	3
3	21000003	2389	2
0	33000000	1577	3
2	46000002	1524	3
1	26000001	1642	2
3	22000003	2135	2
0	34000000	1525	3
1	27000001	1787	2
2	47000002	1767	3
0	35000000	1519	2
1	28000001	1802	2
0	36000000	1614	3
1	29000001	1576	2
2	48000002	1439	3
0	37000000	1506	2
1	30000001	1550	3
2	50000002	1651	2
0	38000000	1503	2
2	51000002	1340	2
0	39000000	1497	2
1	31000001	1768	3
2	52000002	1308	2
0	40000000	1494	2
1	32000001	1515	2
0	41000000	1472	2
2	53000002	1733	3
0	42000000	1470	2
1	33000001	1509	3
0	43000000	1464	2
2	54000002	1299	3
3	23000003	5167	3
2	55000002	1277	2
1	34000001	1823	3
1	35000001	1495	2
0	44000000	2173	3
2	56000002	1685	3
1	36000001	1490	2
3	25000003	2196	3
0	45000000	1446	2
2	57000002	1310	2
1	37000001	1861	2
3	26000003	2099	2
1	38000001	1460	2
2	58000002	1542	3
1	39000001	1457	2
3	27000003	2008	2
2	59000002	1264	2
0	46000000	1489	3
1	40000001	1434	2
0	47000000	1428	2
2	60000002	1356	3
3	28000003	2528	2
1	41000001	1555	3
3	29000003	1941	2
0	48000000	1939	3
2	61000002	1234	3
2	62000002	1227	2
1	42000001	1590	3
0	49000000	1413	2
3	30000003	1924	3
2	63000002	1239	3
1	43000001	1417	3
0	50000000	1413	3
2	64000002	1173	2
1	44000001	1405	2
0	51000000	1401	2
3	31000003	1950	3
2	65000002	1169	2
0	52000000	1420	2
2	67000002	1164	2
1	46000001	1426	3
2	68000002	1162	2
3	33000003	1871	3
0	53000000	1766	3
2	69000002	1162	2
3	34000003	1807	2
1	47000001	2171	3
0	54000000	1665	3
2	70000002	1968	3
3	35000003	1757	2
1	48000001	1478	3
2	71000002	1152	2
0	55000000	1411	2
2	72000002	1150	2
3	36000003	1986	2
0	56000000	1352	2
1	49000001	2189	3
0	57000000	1346	2
2	73000002	1385	3
3	37000003	2039	3
1	50000001	1303	2
2	74000002	1180	2
0	58000000	1346	3
1	51000001	1292	2
2	75000002	1126	2
3	38000003	1600	3
0	59000000	1344	2
1	53000001	1268	2
3	39000003	1596	2
2	76000002	1125	3
0	60000000	1339	3
1	54000001	1816	2
0	61000000	1326	2
3	40000003	1629	3
1	56000001	1465	2
2	77000002	1195	3
1	57000001	1265	2
3	41000003	1583	2
0	62000000	1444	3
2	78000002	1388	3
3	42000003	1582	2
1	58000001	1212	3
0	63000000	1314	3
2	79000002	1339	3
1	59000001	1267	3
2	80000002	1089	2
1	60000001	1205	2
3	43000003	2168	3
0	64000000	1864	3
1	61000001	1202	3
3	44000003	1571	2
2	81000002	1585	3
0	65000000	1285	2
1	62000001	1216	2
2	82000002	1075	2
2	83000002	1126	2
3	45000003	1553	3
2	84000002	1047	2
2	85000002	1041	2
1	63000001	1415	3
0	66000000	1667	3
2	86000002	1039	2
0	67000000	1278	2
2	87000002	1013	2
3	46000003	1529	3
2	88000002	1000	2
3	47000003	1523	2
1	64000001	1337	3
0	68000000	1284	3
2	89000002	996	2
2	90000002	994	2
3	48000003	1490	2
1	65000001	1218	3
2	91000002	1069	2
2	92000002	1195	2
1	66000001	1157	2
2	93000002	992	2
0	69000000	1679	3
3	50000003	1688	3
