# SeedLengthInNucleotides	Frequency
100	9
101	21
102	17
103	12
104	19
105	14
106	12
107	8
108	14
109	13
110	12
111	15
112	14
113	13
114	9
115	9
116	12
117	9
118	8
119	13
120	14
121	15
122	13
123	10
124	13
125	11
126	15
127	9
128	20
129	8
130	10
131	7
132	10
133	9
134	11
135	12
136	10
137	11
138	12
139	15
140	15
141	4
142	8
143	9
144	6
145	14
146	8
147	12
148	10
149	10
150	10
151	9
152	7
153	3
154	10
155	8
156	8
157	12
158	12
159	12
160	12
161	13
162	8
163	8
164	13
165	5
166	10
167	9
168	9
169	14
170	6
171	12
172	11
173	19
174	14
175	10
176	12
177	9
178	14
179	12
180	8
181	10
182	8
183	14
184	10
185	7
186	16
187	11
188	18
189	15
190	17
191	13
192	15
193	13
194	7
195	15
196	12
197	13
198	13
199	13
200	14
201	8
202	17
203	13
204	9
205	9
206	13
207	18
208	23
209	27
210	17
211	18
212	20
213	16
214	15
215	27
216	20
217	28
218	19
219	23
220	24
221	35
222	23
223	23
224	15
225	24
226	20
227	16
228	32
229	30
230	20
231	25
232	20
233	28
234	23
235	20
236	25
237	21
238	18
239	23
240	20
241	25
242	17
243	20
244	13
245	17
246	19
247	13
248	44
249	36
250	15
251	7
252	11
253	6
254	10
255	9
256	5
257	10
258	9
259	15
260	12
261	10
262	9
263	6
264	8
265	5
266	4
267	3
268	3
269	6
270	10
271	12
272	5
273	7
274	6
275	10
276	10
277	4
278	6
279	6
280	4
281	8
282	8
283	5
284	7
285	5
286	7
287	7
288	8
289	5
290	10
291	5
292	4
293	10
294	7
295	12
296	3
297	8
298	10
299	5
300	4
301	6
302	8
303	13
304	11
305	7
306	7
307	8
308	7
309	5
310	6
311	6
312	2
313	8
314	3
315	7
316	10
317	6
318	6
319	8
320	8
321	7
322	3
323	5
324	10
325	6
326	10
327	11
328	6
329	8
330	8
331	11
332	7
333	7
334	2
335	10
336	11
337	6
338	8
339	7
340	4
341	4
342	2
343	4
344	5
345	10
346	5
347	9
348	4
349	4
350	6
351	7
352	9
353	2
354	3
355	9
356	5
357	4
358	3
359	8
360	6
361	8
362	9
363	8
364	8
365	4
366	8
367	3
368	8
369	5
370	8
371	4
372	10
373	3
374	6
375	4
376	1
377	8
378	9
379	4
380	11
381	9
382	4
383	5
384	4
385	7
386	7
387	4
388	4
389	3
390	8
391	10
392	4
393	6
394	4
395	9
396	5
397	1
398	6
399	4
400	7
401	7
402	4
403	7
404	6
405	6
406	2
407	7
408	6
409	3
410	5
411	5
412	4
413	3
414	1
415	3
416	1
417	7
418	4
419	6
420	6
421	5
422	6
423	9
424	6
425	3
426	4
427	5
428	4
429	4
430	8
431	6
432	1
433	3
434	4
435	6
436	6
437	7
438	7
439	5
440	4
441	3
442	6
443	11
444	4
445	4
446	6
447	4
448	4
449	3
450	7
451	9
452	2
453	4
454	3
455	1
456	4
457	5
458	6
459	8
460	7
461	3
462	10
463	3
464	5
465	2
466	3
467	3
468	5
469	4
470	4
471	4
472	5
473	3
474	2
475	7
476	5
477	6
478	4
479	6
480	4
481	7
482	7
483	3
484	3
485	6
486	5
487	4
488	5
489	5
490	4
491	2
492	5
493	3
494	4
495	3
496	3
497	4
498	6
499	3
500	2
501	5
502	5
503	1
504	3
505	3
506	6
507	3
508	5
509	2
510	3
511	2
512	4
513	5
514	3
515	4
516	5
517	6
518	4
519	3
520	2
521	2
522	3
523	5
524	3
525	2
526	3
527	4
528	2
529	2
530	5
531	5
532	3
533	5
534	3
535	3
536	6
537	5
538	4
539	7
540	8
541	3
542	2
543	3
544	5
545	3
546	4
547	5
548	4
549	4
550	2
551	2
552	2
553	3
555	2
556	6
557	5
558	5
559	1
560	4
561	3
562	6
563	4
564	3
565	5
566	4
567	2
568	2
569	1
570	1
571	2
572	2
573	6
574	6
575	1
576	4
577	6
578	1
579	5
580	4
581	5
582	3
584	2
585	2
587	4
588	1
590	1
591	2
592	4
593	4
594	4
595	4
596	5
597	5
598	2
599	4
600	3
601	4
602	2
603	5
604	1
605	5
606	1
607	2
608	1
609	3
610	4
611	1
612	4
613	2
614	3
615	3
616	3
617	1
618	4
619	1
620	7
621	2
622	1
623	2
624	1
625	1
626	1
627	5
628	3
629	3
631	4
632	1
633	1
634	8
635	4
637	1
638	6
639	2
640	5
641	6
642	3
643	1
644	2
645	3
646	1
647	2
648	3
650	2
651	3
652	4
653	1
654	1
655	2
656	2
657	2
658	3
659	2
661	8
662	2
663	2
665	4
666	1
667	2
668	7
669	5
670	3
671	3
672	2
675	1
676	1
677	2
678	2
679	2
680	2
681	2
682	2
683	4
684	1
685	2
686	3
687	4
689	1
690	1
691	1
692	3
693	1
694	2
695	5
696	3
697	1
698	3
699	3
700	4
701	3
702	3
703	3
704	2
705	5
706	4
707	2
708	2
710	1
711	2
713	1
714	2
715	1
716	1
717	2
718	2
719	5
720	2
722	5
724	2
726	4
727	1
728	2
729	3
730	4
732	1
733	2
734	3
735	5
736	2
737	3
739	1
741	3
742	2
743	1
744	1
747	2
749	2
750	2
751	2
752	1
753	4
754	4
755	2
756	6
757	3
758	3
759	3
760	3
761	1
762	2
763	2
764	2
765	1
766	1
767	4
770	2
771	5
772	3
773	2
775	4
776	4
777	6
778	2
779	3
780	3
782	3
783	1
785	4
786	1
787	2
788	3
789	2
790	3
791	1
793	3
796	1
797	1
798	2
799	2
801	3
802	1
803	4
804	3
805	2
807	1
809	3
810	2
811	3
812	3
813	2
814	2
817	2
818	1
821	3
822	1
823	2
824	3
825	1
826	2
827	2
829	2
830	1
832	1
833	1
834	3
840	2
841	3
843	2
844	4
845	1
846	1
847	1
848	5
849	1
850	1
851	3
853	2
855	3
857	1
858	1
859	5
860	2
861	1
862	1
863	1
864	2
865	2
866	3
867	1
868	2
869	1
870	2
871	2
873	4
874	1
876	7
878	1
879	3
880	2
881	2
883	1
885	2
886	2
887	1
888	1
889	1
891	1
893	1
894	1
895	3
896	1
897	2
898	1
900	2
901	1
902	3
903	1
904	2
907	1
908	1
910	1
914	1
916	4
917	1
919	1
920	2
921	1
922	2
923	1
924	1
925	2
927	1
929	3
930	1
931	1
932	2
933	4
935	1
936	1
937	3
938	1
941	2
942	2
945	2
947	1
948	1
949	1
950	2
952	1
953	1
954	2
956	1
959	2
960	1
963	1
964	2
966	1
968	3
969	1
973	3
975	3
976	1
977	1
978	1
981	1
984	1
985	2
986	1
987	1
988	1
990	2
991	2
992	3
994	2
995	2
1000	1
1001	4
1002	2
1007	2
1008	2
1009	1
1010	1
1011	2
1017	3
1019	1
1020	1
1021	1
1022	2
1023	2
1024	2
1025	1
1026	2
1029	1
1030	2
1032	1
1035	1
1036	2
1037	3
1041	2
1043	2
1045	1
1046	2
1048	1
1050	1
1052	2
1055	1
1056	1
1057	1
1063	1
1068	1
1069	1
1071	2
1074	2
1075	2
1076	1
1077	1
1078	1
1079	2
1080	1
1081	2
1082	1
1085	1
1089	1
1090	1
1095	2
1096	1
1100	1
1101	1
1102	1
1105	1
1106	2
1108	1
1110	1
1111	1
1112	1
1114	1
1118	1
1119	1
1120	1
1123	1
1128	1
1131	1
1134	1
1137	1
1138	1
1141	1
1142	1
1144	1
1149	1
1150	1
1151	1
1152	1
1153	1
1154	1
1156	1
1157	3
1159	1
1162	1
1163	1
1167	1
1168	1
1169	1
1171	2
1172	1
1174	1
1176	1
1177	1
1178	1
1180	2
1181	1
1182	1
1183	1
1187	1
1188	1
1190	1
1191	2
1192	3
1193	1
1194	1
1196	1
1199	3
1203	1
1204	1
1206	1
1211	1
1213	1
1220	2
1223	1
1227	1
1231	1
1233	2
1235	1
1237	1
1238	1
1240	1
1241	1
1248	1
1250	1
1256	1
1257	1
1261	2
1262	2
1264	1
1267	1
1270	1
1272	1
1273	1
1285	1
1290	1
1292	2
1293	1
1294	1
1295	1
1298	1
1299	2
1303	1
1304	1
1306	1
1308	1
1309	1
1310	1
1315	1
1317	1
1318	1
1320	1
1322	2
1323	1
1330	1
1332	1
1333	2
1337	1
1338	1
1343	1
1347	1
1353	1
1356	2
1358	1
1361	1
1365	1
1366	3
1368	1
1370	1
1374	1
1375	1
1376	1
1380	2
1382	1
1383	1
