#Contig name	K-mer length	Contig length in k-mers	Colored k-mers	Proportion of colored k-mers in contig	Mode k-mer coverage depth	K-mer observations	Total	Proportion of k-mer observations in sample
contig-2	31	5260	0	0	39	205140	21898680	0.00936769
contig-1000002	31	3222	0	0	12	38664	21898680	0.00176559
contig-1	31	7278	0	0	39	283842	21898680	0.0129616
contig-0	31	11714	0	0	11	128854	21898680	0.0058841
contig-2000002	31	2949	0	0	8	23592	21898680	0.00107733
contig-3	31	11641	0	0	15	174615	21898680	0.00797377
contig-1000001	31	5924	0	0	35	207340	21898680	0.00946815
contig-3000002	31	2982	0	0	4	11928	21898680	0.00054469
contig-4000002	31	2775	0	0	15	41625	21898680	0.0019008
contig-1000000	31	7264	0	0	13	94432	21898680	0.00431222
contig-1000003	31	7419	0	0	13	96447	21898680	0.00440424
contig-5000002	31	3387	0	0	6	20322	21898680	0.000928001
contig-2000001	31	7672	0	0	36	276192	21898680	0.0126123
contig-2000000	31	4067	0	0	4	16268	21898680	0.000742876
contig-6000002	31	2682	0	0	11	29502	21898680	0.0013472
contig-3000000	31	3975	0	0	6	23850	21898680	0.00108911
contig-7000002	31	3779	0	0	6	22674	21898680	0.0010354
contig-3000001	31	5067	0	0	39	197613	21898680	0.00902397
contig-4000000	31	2644	0	0	14	37016	21898680	0.00169033
contig-4000001	31	3336	0	0	12	40032	21898680	0.00182806
contig-2000003	31	12466	0	0	18	224388	21898680	0.0102466
contig-5000000	31	2447	0	0	8	19576	21898680	0.000893935
contig-5000001	31	2790	0	0	9	25110	21898680	0.00114664
contig-8000002	31	6477	0	0	9	58293	21898680	0.00266194
contig-6000000	31	2469	0	0	32	79008	21898680	0.00360789
contig-9000002	31	2602	0	0	30	78060	21898680	0.0035646
contig-3000003	31	6068	0	0	12	72816	21898680	0.00332513
contig-6000001	31	3317	0	0	7	23219	21898680	0.00106029
contig-7000000	31	2393	0	0	8	19144	21898680	0.000874208
contig-10000002	31	2415	0	0	10	24150	21898680	0.00110281
contig-8000000	31	2451	0	0	16	39216	21898680	0.00179079
contig-7000001	31	3130	0	0	26	81380	21898680	0.00371621
contig-11000002	31	3364	0	0	6	20184	21898680	0.000921699
contig-9000000	31	2110	0	0	2	4220	21898680	0.000192706
contig-8000001	31	2939	0	0	15	44085	21898680	0.00201314
contig-12000002	31	2280	0	0	9	20520	21898680	0.000937043
contig-10000000	31	2084	0	0	6	12504	21898680	0.000570993
contig-4000003	31	8716	0	0	14	122024	21898680	0.00557221
contig-9000001	31	2818	0	0	9	25362	21898680	0.00115815
contig-13000002	31	2441	0	0	13	31733	21898680	0.00144908
contig-11000000	31	2458	0	0	8	19664	21898680	0.000897954
contig-10000001	31	2390	0	0	5	11950	21898680	0.000545695
contig-14000002	31	2196	0	0	6	13176	21898680	0.00060168
contig-12000000	31	2002	0	0	6	12012	21898680	0.000548526
contig-11000001	31	2361	0	0	7	16527	21898680	0.000754703
