All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Spades_default  Spades_careful  Megahit_default  Megahit_min_3  Ray          
# contigs (>= 0 bp)         2035            2093            2122             2148           4428         
# contigs (>= 1000 bp)      830             829             812              799            498          
# contigs (>= 5000 bp)      39              38              35               34             18           
# contigs (>= 10000 bp)     4               4               5                4              4            
# contigs (>= 25000 bp)     0               0               0                0              0            
# contigs (>= 50000 bp)     0               0               0                0              0            
Total length (>= 0 bp)      2434372         2447015         2453443          2378273        2419922      
Total length (>= 1000 bp)   1760743         1756775         1711882          1619713        907403       
Total length (>= 5000 bp)   280572          274821          254002           240766         136847       
Total length (>= 10000 bp)  50602           50349           60920            48701          47149        
Total length (>= 25000 bp)  0               0               0                0              0            
Total length (>= 50000 bp)  0               0               0                0              0            
# contigs                   1536            1540            1547             1565           1523         
Largest contig              13402           13402           13387            13405          12496        
Total length                2259200         2258397         2230061          2149633        1621643      
Reference length            1641481         1641481         1641481          1641481        1641481      
GC (%)                      50.96           50.97           50.86            50.66          49.57        
Reference GC (%)            30.55           30.55           30.55            30.55          30.55        
N50                         1819            1815            1763             1673           1115         
NG50                        2413            2415            2333             2137           1106         
N75                         1056            1054            1038             1003           751          
NG75                        1636            1635            1591             1438           737          
L50                         356             357             360              371            407          
LG50                        207             208             213              234            416          
L75                         766             768             774              792            858          
LG75                        415             416             430              472            878          
# unaligned contigs         1536 + 0 part   1540 + 0 part   1547 + 0 part    1565 + 0 part  1523 + 0 part
Unaligned length            2259200         2258397         2230061          2149633        1621643      
# N's per 100 kbp           0.00            0.00            0.00             0.00           0.00         
NGA50                       -               -               -                -              -            
