locus_tag	ftype	length_bp	gene	EC_number	COG	product
POBNIBBE_00001	CDS	429				hypothetical protein
POBNIBBE_00002	CDS	171				hypothetical protein
POBNIBBE_00003	CDS	198				hypothetical protein
POBNIBBE_00004	CDS	213				hypothetical protein
POBNIBBE_00005	CDS	528				hypothetical protein
POBNIBBE_00006	CDS	459				hypothetical protein
POBNIBBE_00007	CDS	156				hypothetical protein
POBNIBBE_00008	CDS	441				hypothetical protein
POBNIBBE_00009	CDS	1263			COG1783	putative protein
POBNIBBE_00010	CDS	1425				hypothetical protein
POBNIBBE_00011	CDS	1458				hypothetical protein
POBNIBBE_00012	CDS	195				hypothetical protein
POBNIBBE_00013	CDS	558				hypothetical protein
POBNIBBE_00014	CDS	819				hypothetical protein
POBNIBBE_00015	CDS	147				hypothetical protein
POBNIBBE_00016	CDS	345				hypothetical protein
POBNIBBE_00017	CDS	366				hypothetical protein
POBNIBBE_00018	CDS	399				hypothetical protein
POBNIBBE_00019	CDS	408				hypothetical protein
POBNIBBE_00020	CDS	183				hypothetical protein
POBNIBBE_00021	CDS	1299				hypothetical protein
POBNIBBE_00022	CDS	465	xkdM			Phage-like element PBSX protein XkdM
POBNIBBE_00023	CDS	402				hypothetical protein
POBNIBBE_00024	CDS	2205				hypothetical protein
POBNIBBE_00025	CDS	675				hypothetical protein
POBNIBBE_00026	CDS	960				hypothetical protein
POBNIBBE_00027	CDS	258				hypothetical protein
POBNIBBE_00028	CDS	414				hypothetical protein
POBNIBBE_00029	CDS	1038				hypothetical protein
POBNIBBE_00030	CDS	540				hypothetical protein
POBNIBBE_00031	CDS	1302				hypothetical protein
POBNIBBE_00032	CDS	1281				hypothetical protein
POBNIBBE_00033	CDS	201				hypothetical protein
POBNIBBE_00034	CDS	144				hypothetical protein
POBNIBBE_00035	CDS	390				hypothetical protein
POBNIBBE_00036	CDS	273				hypothetical protein
POBNIBBE_00037	CDS	417				hypothetical protein
POBNIBBE_00038	CDS	681	xlyA	3.5.1.28	COG1388	N-acetylmuramoyl-L-alanine amidase XlyA
POBNIBBE_00039	CDS	348				hypothetical protein
POBNIBBE_00040	CDS	675	ydgH		COG2409	Putative membrane protein YdgH
POBNIBBE_00041	CDS	183				hypothetical protein
POBNIBBE_00042	CDS	2553				hypothetical protein
POBNIBBE_00043	CDS	3465				hypothetical protein
POBNIBBE_00044	CDS	3552				hypothetical protein
POBNIBBE_00045	CDS	540				hypothetical protein
POBNIBBE_00046	CDS	600				hypothetical protein
POBNIBBE_00047	CDS	1218	helD_1	3.6.4.12	COG3973	DNA helicase IV
POBNIBBE_00048	CDS	153				hypothetical protein
POBNIBBE_00049	CDS	201				hypothetical protein
POBNIBBE_00050	CDS	282		1.-.-.-		putative oxidoreductase
POBNIBBE_00051	CDS	777	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
POBNIBBE_00052	CDS	861	ywpJ	3.1.3.-	COG0561	Phosphatase YwpJ
POBNIBBE_00053	CDS	1437	bglC_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglC
POBNIBBE_00054	CDS	1662	lacE		COG1455	PTS system lactose-specific EIICB component
POBNIBBE_00055	CDS	321	lacF_1			PTS system lactose-specific EIIA component
POBNIBBE_00056	CDS	255				hypothetical protein
POBNIBBE_00057	CDS	954	lacC	2.7.1.144		Tagatose-6-phosphate kinase
POBNIBBE_00058	CDS	861	gatY	4.1.2.40		D-tagatose-1,6-bisphosphate aldolase subunit GatY
POBNIBBE_00059	CDS	519	lacB	5.3.1.26		Galactose-6-phosphate isomerase subunit LacB
POBNIBBE_00060	CDS	429	lacA	5.3.1.26		Galactose-6-phosphate isomerase subunit LacA
POBNIBBE_00061	CDS	753	lacR_1			Lactose phosphotransferase system repressor
POBNIBBE_00062	CDS	330				hypothetical protein
POBNIBBE_00063	CDS	240				hypothetical protein
POBNIBBE_00064	CDS	129				hypothetical protein
POBNIBBE_00065	CDS	291	cas2_1	3.1.-.-	COG1343	CRISPR-associated endonuclease Cas2
POBNIBBE_00066	CDS	1032	cas1_1	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
POBNIBBE_00067	CDS	615	cas4	3.1.12.1		CRISPR-associated exonuclease Cas4
POBNIBBE_00068	CDS	1113				hypothetical protein
POBNIBBE_00069	CDS	1776				hypothetical protein
POBNIBBE_00070	CDS	711	cas5d	3.1.-.-		CRISPR pre-crRNA endoribonuclease Cas5d
